S no,Description,Event Category,Event Action,Event Label
,,,,
1,Home > Rent,Services selection,Selected rent,"timeStamp:1424252467307_uid:1641101363_sid:17_count:126_{""city"":""null"",""previous_page_type"":""home-page_service-selection-page"",""from"":""Home_Page"",""service"":"""",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""page_type"":""service-selection-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
2,Rent > Search,Filters-rent,locality,"timeStamp:1424252562559_uid:1641101363_sid:17_count:128_{""city"":""mumbai"",""locality"":null,""lat"":null,""lng"":null,""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_locality-selection-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
3,Open filter,Filters-rent,open_filters,"timeStamp:1424252768449_uid:1641101363_sid:17_count:135_{""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
4,Apartment type,Filters-rent,apartment_types,"timeStamp:1424252801560_uid:1641101363_sid:17_count:136_{""city"":""mumbai"",""type"":""3_BHK_[_9_]"",""selection"":""true"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":null,\""range\"":{\""f\"":null,\""t\"":null}},\""apartment_types\"":[3,4],\""min_rent\"":35000,\""max_rent\"":60000,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
5,Filter,Filters-rent,rent,"timeStamp:1424252883383_uid:1641101363_sid:17_count:137_{""city"":""mumbai"",""min"":""35_K"",""max"":""45_K"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":null,\""range\"":{\""f\"":null,\""t\"":null}},\""apartment_types\"":[3,4],\""min_rent\"":35000,\""max_rent\"":45000,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
6,Filter,Filters-rent,lease_types,"timeStamp:1424252918199_uid:1641101363_sid:17_count:139_{""city"":""mumbai"",""type"":""Family_and_Company_[_2_]"",""selection"":""true"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":null,\""range\"":{\""f\"":null,\""t\"":null}},\""apartment_types\"":[3,4],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
7,Filter,Filters-rent,owner_types,"timeStamp:1424252946519_uid:1641101363_sid:17_count:140_{""city"":""mumbai"",""type"":""Brokers_[_30_]"",""selection"":""true"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":null,\""range\"":{\""f\"":null,\""t\"":null}},\""apartment_types\"":[3,4],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
8,Filter,Filters-rent,more_filters,"timeStamp:1424252976618_uid:1641101363_sid:17_count:141_{""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
9,Filter,Filters-rent,furnish_types,"timeStamp:1424253013649_uid:1641101363_sid:17_count:142_{""city"":""mumbai"",""type"":""Fully_Furnished_[_11_]"",""selection"":""true"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":null,\""range\"":{\""f\"":null,\""t\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
